household_id,ea_id,saq01,saq14,pw_w4,adulteq,hh_size,food_cons_ann,nonfood_cons_ann,educ_cons_ann,fafh_cons_ann,utilities_cons_ann,total_cons_ann,nom_foodcons_aeq,nom_nonfoodcons_aeq,nom_educcons_aeq,nom_utilities_aeq,nom_totcons_aeq,spat_totcons_aeq,cons_quint
150101088800501024,150101088800501,DIRE DAWA,RURAL,108.1944196428572,4.199999809265137,6,25394.352966308594,8608,2200,6240,2772,45214.3515625,7531.9892578125,2049.52392578125,523.8095703125,660,10765.322265625,11133.7080078125,3
150101010100105064,150101010100105,DIRE DAWA,URBAN,118.3793436293436,2.7100000381469727,4,57616,11188,0,0,3360,72164,21260.515625,4128.4130859375,0,1239.8524169921875,26628.78125,25124.697265625,5
120301010100211279,120301010100211,GAMBELA,URBAN,237.7993612774451,1.8199999332427979,2,22339.200073242188,11443,0,3328,240,37350.19921875,14102.857421875,6287.36279296875,0,131.86813354492187,20522.087890625,20785.568359375,4
140905010900503061,140905010900503,ADDIS ABABA,URBAN,1199.463854606932,3.859999895095825,4,23732.800048828125,9092,3000,0,8676,44500.80078125,6148.39404296875,2355.4404296875,777.20208740234375,2247.66845703125,11528.705078125,11059.00390625,3
040804088800112039,040804088800112,OROMIA,RURAL,5684.904207362885,3.9600000381469727,5,37856,30430,780,8788,1920,79774,11778.7880859375,7684.34326171875,196.96969604492187,484.8484802246094,20144.94921875,20979.158203125,4
120302088801002088,120302088801002,GAMBELA,RURAL,219.4609712687516,3.559999942779541,4,18431.63623046875,4160,400,0,0,22991.63671875,5177.42578125,1168.539306640625,112.35955047607422,0,6458.3251953125,6595.54736328125,1
070701010100104214,070701010100104,SNNP,URBAN,5103.053283344695,3.4800000190734863,4,33696,15068,1840,0,1920,52524,9682.7587890625,4329.88525390625,528.73565673828125,551.72412109375,15093.103515625,16320.9990234375,4
050907088800903049,050907088800903,SOMALI,RURAL,854.3818646232439,1.7999999523162842,2,33540,2922,0,0,18000,54462,18633.333984375,1623.3333740234375,0,10000,30256.66796875,25335.662109375,5
010403088800201091,010403088800201,TIGRAY,RURAL,1724.230218253968,3.990000009536743,6,19726.93115234375,3136,0,1300,300,24462.931640625,5269.90771484375,785.96490478515625,0,75.18797302246094,6131.060546875,6284.37646484375,1
140702010700258065,140702010700258,ADDIS ABABA,URBAN,1249.658552036199,3.559999942779541,4,37440,8300,0,2600,10440,58780,11247.19140625,2331.460693359375,0,2932.584228515625,16511.236328125,15838.5380859375,4
