ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs2aq01,cs2aq02,cs2aq03,cs2aq04,cs2aq05,cs2aq06,cs2aq06_os,cs2aq07,cs2aq07_os,cs2aq08,cs2aq09,cs2aq10,cs2aq11
030606088800202,1. RURAL,3. AMHARA,06,06,8,88,002,02,2. NO,2. NO,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,1. YES
030610010100110,2. URBAN,3. AMHARA,06,10,1,1,001,10,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,2. NO
030610088800708,1. RURAL,3. AMHARA,06,10,8,88,007,08,2. NO,2. NO,2. NO,2. NO,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,2. NO
030614088801003,1. RURAL,3. AMHARA,06,14,8,88,010,03,2. NO,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,1. YES
030616010100207,2. URBAN,3. AMHARA,06,16,1,1,002,07,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
030701088800919,1. RURAL,3. AMHARA,07,01,8,88,009,19,2. NO,1. YES,2. NO,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,1. YES
030703088802911,1. RURAL,3. AMHARA,07,03,8,88,029,11,2. NO,2. NO,2. NO,2. NO,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,1. YES
030706010100103,2. URBAN,3. AMHARA,07,06,1,1,001,03,1. YES,2. NO,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,2. NO,,2. NO
030707088800708,1. RURAL,3. AMHARA,07,07,8,88,007,08,2. NO,2. NO,2. NO,2. NO,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
030710088801809,1. RURAL,3. AMHARA,07,10,8,88,018,09,1. YES,2. NO,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,1. YES
030714010100520,2. URBAN,3. AMHARA,07,14,1,1,005,20,2. NO,2. NO,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
030803030100101,2. URBAN,3. AMHARA,08,03,3,1,001,01,2. NO,2. NO,2. NO,1. YES,2. NO,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
030803088802708,1. RURAL,3. AMHARA,08,03,8,88,027,08,2. NO,2. NO,1. YES,1. YES,2. NO,1. Wood and mud,,3. Thatch,,1. YES,1. YES,1. YES,1. YES
030808088800201,1. RURAL,3. AMHARA,08,08,8,88,002,01,2. NO,2. NO,2. NO,1. YES,1. YES,1. Wood and mud,,3. Thatch,,1. YES,2. NO,,2. NO
030902088800605,1. RURAL,3. AMHARA,09,02,8,88,006,05,2. NO,1. YES,2. NO,2. NO,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,1. YES
