ea_id,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq14,saq21
050801010100308,5. SOMALI,08,01,1,1,003,08,2. URBAN,**CONFIDENTIAL**
050802088801803,5. SOMALI,08,02,8,88,018,03,2. URBAN,**CONFIDENTIAL**
050805088800704,5. SOMALI,08,05,8,88,007,04,2. URBAN,**CONFIDENTIAL**
050807088800305,5. SOMALI,08,07,8,88,003,05,2. URBAN,**CONFIDENTIAL**
050808088801601,5. SOMALI,08,08,8,88,016,01,2. URBAN,**CONFIDENTIAL**
050901010100102,5. SOMALI,09,01,1,1,001,02,2. URBAN,**CONFIDENTIAL**
050902088801202,5. SOMALI,09,02,8,88,012,02,1. RURAL,**CONFIDENTIAL**
050905088800202,5. SOMALI,09,05,8,88,002,02,1. RURAL,**CONFIDENTIAL**
050906010100116,5. SOMALI,09,06,1,1,001,16,2. URBAN,**CONFIDENTIAL**
050907088800903,5. SOMALI,09,07,8,88,009,03,1. RURAL,**CONFIDENTIAL**
051003088800201,5. SOMALI,10,03,8,88,002,01,2. URBAN,**CONFIDENTIAL**
051004088801303,5. SOMALI,10,04,8,88,013,03,2. URBAN,**CONFIDENTIAL**
051101088801203,5. SOMALI,11,01,8,88,012,03,2. URBAN,**CONFIDENTIAL**
051103088801903,5. SOMALI,11,03,8,88,019,03,1. RURAL,**CONFIDENTIAL**
060101088800403,6. BENISHANGUL GUMUZ,01,01,8,88,004,03,1. RURAL,**CONFIDENTIAL**
060103088801802,6. BENISHANGUL GUMUZ,01,03,8,88,018,02,1. RURAL,**CONFIDENTIAL**
060103088804602,6. BENISHANGUL GUMUZ,01,03,8,88,046,02,1. RURAL,**CONFIDENTIAL**
060103088806701,6. BENISHANGUL GUMUZ,01,03,8,88,067,01,1. RURAL,**CONFIDENTIAL**
060104010100103,6. BENISHANGUL GUMUZ,01,04,1,1,001,03,2. URBAN,**CONFIDENTIAL**
060104088800802,6. BENISHANGUL GUMUZ,01,04,8,88,008,02,1. RURAL,**CONFIDENTIAL**
060105088801701,6. BENISHANGUL GUMUZ,01,05,8,88,017,01,1. RURAL,**CONFIDENTIAL**
060105088803201,6. BENISHANGUL GUMUZ,01,05,8,88,032,01,1. RURAL,**CONFIDENTIAL**
060107088800402,6. BENISHANGUL GUMUZ,01,07,8,88,004,02,1. RURAL,**CONFIDENTIAL**
060108010100106,6. BENISHANGUL GUMUZ,01,08,1,1,001,06,2. URBAN,**CONFIDENTIAL**
060108010100205,6. BENISHANGUL GUMUZ,01,08,1,1,002,05,2. URBAN,**CONFIDENTIAL**
060108010100319,6. BENISHANGUL GUMUZ,01,08,1,1,003,19,2. URBAN,**CONFIDENTIAL**
060108010100415,6. BENISHANGUL GUMUZ,01,08,1,1,004,15,2. URBAN,**CONFIDENTIAL**
060201010100103,6. BENISHANGUL GUMUZ,02,01,1,1,001,03,2. URBAN,**CONFIDENTIAL**
060201088801903,6. BENISHANGUL GUMUZ,02,01,8,88,019,03,1. RURAL,**CONFIDENTIAL**
060203010100106,6. BENISHANGUL GUMUZ,02,03,1,1,001,06,2. URBAN,**CONFIDENTIAL**
060203088800704,6. BENISHANGUL GUMUZ,02,03,8,88,007,04,1. RURAL,**CONFIDENTIAL**
060203088802004,6. BENISHANGUL GUMUZ,02,03,8,88,020,04,1. RURAL,**CONFIDENTIAL**
060204020100105,6. BENISHANGUL GUMUZ,02,04,2,1,001,05,2. URBAN,**CONFIDENTIAL**
060205040100108,6. BENISHANGUL GUMUZ,02,05,4,1,001,08,2. URBAN,**CONFIDENTIAL**
060205088801701,6. BENISHANGUL GUMUZ,02,05,8,88,017,01,1. RURAL,**CONFIDENTIAL**
060206020100103,6. BENISHANGUL GUMUZ,02,06,2,1,001,03,2. URBAN,**CONFIDENTIAL**
060206088800203,6. BENISHANGUL GUMUZ,02,06,8,88,002,03,1. RURAL,**CONFIDENTIAL**
060206088800904,6. BENISHANGUL GUMUZ,02,06,8,88,009,04,1. RURAL,**CONFIDENTIAL**
060207030100102,6. BENISHANGUL GUMUZ,02,07,3,1,001,02,2. URBAN,**CONFIDENTIAL**
060207088801401,6. BENISHANGUL GUMUZ,02,07,8,88,014,01,1. RURAL,**CONFIDENTIAL**
060302010100105,6. BENISHANGUL GUMUZ,03,02,1,1,001,05,2. URBAN,**CONFIDENTIAL**
060305010100106,6. BENISHANGUL GUMUZ,03,05,1,1,001,06,2. URBAN,**CONFIDENTIAL**
